"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/18 07:57:14","ce16aac137ba53005d19dcc773990eb3","000000000000001|FNA000000000001","Created","Success",""
"2018/06/18 07:57:14",,"000000000000102|FNA000000000103","Not Completed","Skip","No entry retrieved when running lookup query [AST:AssetSoftware]"
