"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/16 19:53:34","f3082a2437b613005d19dcc773990e32","ATA000000000003|ATY000000000008|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/16 19:53:34","77082a2437b613005d19dcc773990e33","ATA000000000005|ATY000000000010|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/16 19:53:34","f3082a2437b613005d19dcc773990e32","ATA000000000016|ATY000000000008|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/16 19:53:34","77082a2437b613005d19dcc773990e33","ATA000000000018|ATY000000000010|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/16 19:53:34","33082a2437b613005d19dcc773990e34","ATA000000000020|ATY000000000006|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/16 19:53:34","fb082a2437b613005d19dcc773990e34","ATA000000000034|ATY000000000039|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/16 19:53:34","fb082a2437b613005d19dcc773990e34","ATA000000000038|ATY000000000039|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/16 19:53:34","b7082a2437b613005d19dcc773990e35","ATA000000000058|ATY000000000076|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/16 19:53:34","b7082a2437b613005d19dcc773990e35","ATA000000000062|ATY000000000076|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/16 19:53:34","73082a2437b613005d19dcc773990e36","ATA000000000075|ATY000000000031|RTY000000000004","Updated","Success","No Changes Made"
