"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/18 15:21:11","c22d9b4ddb7213007f3873278c9619d4","ATA000000000003|ATY000000000008|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/18 15:21:11","822d9b4ddb7213007f3873278c9619d5","ATA000000000005|ATY000000000010|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/18 15:21:11","c22d9b4ddb7213007f3873278c9619d4","ATA000000000016|ATY000000000008|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/18 15:21:11","822d9b4ddb7213007f3873278c9619d5","ATA000000000018|ATY000000000010|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/18 15:21:11","8a2d9b4ddb7213007f3873278c9619d5","ATA000000000020|ATY000000000006|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/18 15:21:11","822d9b4ddb7213007f3873278c9619d6","ATA000000000034|ATY000000000039|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/18 15:21:11","822d9b4ddb7213007f3873278c9619d6","ATA000000000038|ATY000000000039|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/18 15:21:11","8a2d9b4ddb7213007f3873278c9619d6","ATA000000000058|ATY000000000076|RTY000000000004","Updated","Success","No Changes Made"
"2018/06/18 15:21:11","8a2d9b4ddb7213007f3873278c9619d6","ATA000000000062|ATY000000000076|RTY000000000004","Not Completed","Skip","Another source record is being migrated for this key"
"2018/06/18 15:21:11","822d9b4ddb7213007f3873278c9619d7","ATA000000000075|ATY000000000031|RTY000000000004","Updated","Success","No Changes Made"
