"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/19 11:31:10","d5af586ddbf613007f3873278c961959","000000000000001|FNA000000000001","Updated","Success",""
"2018/06/19 11:31:10",,"000000000000102|FNA000000000103","Not Completed","Skip","No entry retrieved when running lookup query [AST:AssetSoftware]"
