"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/19 11:26:54","d5af586ddbf613007f3873278c961959","000000000000001|FNA000000000001","Created","Success",""
"2018/06/19 11:26:54",,"000000000000102|FNA000000000103","Not Completed","Skip","No entry retrieved when running lookup query [AST:AssetSoftware]"
