"Timestamp","Target ID","Source ID","Result","Status","Message"
"2018/06/19 12:00:36","f657eca1db3a13007f3873278c961988","000000000000001|FNA000000000001","Created","Success",""
"2018/06/19 12:00:36",,"000000000000102|FNA000000000103","Not Completed","Skip","No entry retrieved when running lookup query [AST:AssetSoftware]"
"2018/06/19 12:00:36",,"000000000000201|FNA000000000201","Not Completed","Skip","No entry retrieved when running lookup query [AST:AssetSoftware]"
"2018/06/19 12:00:36","490728a1db3a13007f3873278c961970","000000000000202|FNA000000000202","Updated","Success",""
